num,test,mac,time
0,test,"[{'mac': 'Device 2', 'rssi': -38}]",0
1,test,"[{'mac': 'Device 2', 'rssi': -35}]",7
2,test,"[{'mac': 'Device 2', 'rssi': -43}]",12
6,test,"[{'mac': 'Device 2', 'rssi': -11}]",54
8,test,"[{'mac': 'Device 2', 'rssi': -11}]",106
10,test,"[{'mac': 'Device 2', 'rssi': -11}]",163
11,test,"[{'mac': 'Device 1', 'rssi': -33}, {'mac': 'Device 2', 'rssi': -51}]",228
12,test,"[{'mac': 'Device 2', 'rssi': -41}]",233
13,test,"[{'mac': 'Device 2', 'rssi': -41}]",239
14,test,"[{'mac': 'Device 1', 'rssi': -45}, {'mac': 'Device 2', 'rssi': -39}]",245
16,test,"[{'mac': 'Device 1', 'rssi': -39}, {'mac': 'Device 2', 'rssi': -33}]",275
19,test,"[{'mac': 'Device 1', 'rssi': -33}]",294
21,test,"[{'mac': 'Device 1', 'rssi': -23}]",305
22,test,"[{'mac': 'Device 1', 'rssi': -13}]",312
24,test,"[{'mac': 'Device 2', 'rssi': -25}, {'mac': 'Device 1', 'rssi': -13}]",324
25,test,"[{'mac': 'Device 2', 'rssi': -25}]",329
26,test,"[{'mac': 'Device 2', 'rssi': -25}, {'mac': 'Device 1', 'rssi': -15}]",335
28,test,"[{'mac': 'Device 1', 'rssi': -65}]",347
29,test,"[{'mac': 'Device 1', 'rssi': -13}]",352
31,test,"[{'mac': 'Device 1', 'rssi': -15}]",364
32,test,"[{'mac': 'Device 2', 'rssi': -25}]",370
33,test,"[{'mac': 'Device 1', 'rssi': -18}, {'mac': 'Device 2', 'rssi': -25}]",376
35,test,"[{'mac': 'Device 2', 'rssi': -25}]",388
38,test,"[{'mac': 'Device 2', 'rssi': -25}]",406
43,test,"[{'mac': 'Device 2', 'rssi': -25}, {'mac': 'Device 1', 'rssi': -13}]",436
45,test,"[{'mac': 'Device 1', 'rssi': -13}]",448
46,test,"[{'mac': 'Device 2', 'rssi': -25}]",454
47,test,"[{'mac': 'Device 1', 'rssi': -19}, {'mac': 'Device 2', 'rssi': -25}]",460
48,test,"[{'mac': 'Device 2', 'rssi': -25}, {'mac': 'Device 1', 'rssi': -15}]",465
49,test,"[{'mac': 'Device 2', 'rssi': -25}]",471
51,test,"[{'mac': 'Device 1', 'rssi': -15}]",483
53,test,"[{'mac': 'Device 2', 'rssi': -23}]",494
55,test,"[{'mac': 'Device 1', 'rssi': -13}, {'mac': 'Device 2', 'rssi': -25}]",506
57,test,"[{'mac': 'Device 1', 'rssi': -15}, {'mac': 'Device 2', 'rssi': -25}]",517
58,test,"[{'mac': 'Device 2', 'rssi': -25}, {'mac': 'Device 1', 'rssi': -19}]",523
61,test,"[{'mac': 'Device 2', 'rssi': -25}]",547
64,test,"[{'mac': 'Device 2', 'rssi': -25}]",564
67,test,"[{'mac': 'Device 2', 'rssi': -24}]",586
68,test,"[{'mac': 'Device 2', 'rssi': -25}]",592
69,test,"[{'mac': 'Device 2', 'rssi': -23}]",598
70,test,"[{'mac': 'Device 2', 'rssi': -24}]",604
72,test,"[{'mac': 'Device 2', 'rssi': -25}]",616
74,test,"[{'mac': 'Device 1', 'rssi': -15}, {'mac': 'Device 2', 'rssi': -25}]",628
